n_components = 7 , alpha = 1 l1_ratio = 0  -> score: 1.0111871028792460691647647763602435588836669921875
n_components = 7 , alpha = 1 l1_ratio = 0.5  -> score: 1.011921278468720597487617851584218442440032958984375
n_components = 7 , alpha = 1 l1_ratio = 1  -> score: 1.0134038453119631473242634456255473196506500244140625
n_components = 8 , alpha = 0.011 l1_ratio = 0  -> score: 1.011220333165040674572310308576561510562896728515625
n_components = 8 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.01121068702224992108540391200222074985504150390625
n_components = 8 , alpha = 0.011 l1_ratio = 1  -> score: 1.01127819783738193137878624838776886463165283203125
n_components = 8 , alpha = 0.0001 l1_ratio = 0  -> score: 1.0113023713360818067741320191998966038227081298828125
n_components = 8 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0109926541931237853333414022927172482013702392578125
n_components = 8 , alpha = 0.0001 l1_ratio = 1  -> score: 1.011207605401498454966713325120508670806884765625
n_components = 8 , alpha = 1 l1_ratio = 0  -> score: 1.0108436227031827314704059972427785396575927734375
n_components = 8 , alpha = 1 l1_ratio = 0.5  -> score: 1.011659205011385953554281513788737356662750244140625
n_components = 8 , alpha = 1 l1_ratio = 1  -> score: 1.013503162189505868440164704225026071071624755859375
n_components = 9 , alpha = 0.011 l1_ratio = 0  -> score: 1.01117905504308769337740159244276583194732666015625
n_components = 9 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.0112558542983627329903129066224209964275360107421875
n_components = 9 , alpha = 0.011 l1_ratio = 1  -> score: 1.011041859902074069310629056417383253574371337890625
n_components = 9 , alpha = 0.0001 l1_ratio = 0  -> score: 1.011197632407885738103914263774640858173370361328125
n_components = 9 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0111790526320678651472917408682405948638916015625
n_components = 9 , alpha = 0.0001 l1_ratio = 1  -> score: 1.011018127953122291984300318290479481220245361328125
n_components = 9 , alpha = 1 l1_ratio = 0  -> score: 1.0108130080753661150794187051360495388507843017578125
n_components = 9 , alpha = 1 l1_ratio = 0.5  -> score: 1.0114979694366714735309642492211423814296722412109375
n_components = 9 , alpha = 1 l1_ratio = 1  -> score: 1.0135877160932853513486406882293522357940673828125
n_components = 10 , alpha = 0.011 l1_ratio = 0  -> score: 1.0110089420608350252450691186822950839996337890625
n_components = 10 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.011050527110150643039787610177882015705108642578125
n_components = 10 , alpha = 0.011 l1_ratio = 1  -> score: 1.011178468383127526664111428544856607913970947265625
n_components = 10 , alpha = 0.0001 l1_ratio = 0  -> score: 1.011128577285416607622892115614376962184906005859375
n_components = 10 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.0110739117844425027925581161980517208576202392578125
n_components = 10 , alpha = 0.0001 l1_ratio = 1  -> score: 1.01125413189140633818396963761188089847564697265625
n_components = 10 , alpha = 1 l1_ratio = 0  -> score: 1.01064786398551831325676175765693187713623046875
n_components = 10 , alpha = 1 l1_ratio = 0.5  -> score: 1.01155711878473919540510905790142714977264404296875
n_components = 10 , alpha = 1 l1_ratio = 1  -> score: 1.0136871898300039429585694961133413016796112060546875
n_components = 20 , alpha = 0.011 l1_ratio = 0  -> score: 1.0117043237256215792996272284653969109058380126953125
n_components = 20 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.0115050374701326507675958055187948048114776611328125
n_components = 20 , alpha = 0.011 l1_ratio = 1  -> score: 1.0116976536921125084944605987402610480785369873046875
n_components = 20 , alpha = 0.0001 l1_ratio = 0  -> score: 1.0117056482933481920127860576030798256397247314453125
n_components = 20 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.011815703783551345651403607917018234729766845703125
n_components = 20 , alpha = 0.0001 l1_ratio = 1  -> score: 1.011720400386995066810413845814764499664306640625
n_components = 20 , alpha = 1 l1_ratio = 0  -> score: 1.011131377644724604891734998091123998165130615234375
n_components = 20 , alpha = 1 l1_ratio = 0.5  -> score: 1.011822253510309632673624946619383990764617919921875
n_components = 20 , alpha = 1 l1_ratio = 1  -> score: 1.0141865474961051507563070117612369358539581298828125
n_components = 40 , alpha = 0.011 l1_ratio = 0  -> score: 1.0143079079806354148018954219878651201725006103515625
n_components = 40 , alpha = 0.011 l1_ratio = 0.5  -> score: 1.014416995214301397965073192608542740345001220703125
n_components = 40 , alpha = 0.011 l1_ratio = 1  -> score: 1.01437205774702032812228935654275119304656982421875
n_components = 40 , alpha = 0.0001 l1_ratio = 0  -> score: 1.0142530139165499836195749594480730593204498291015625
n_components = 40 , alpha = 0.0001 l1_ratio = 0.5  -> score: 1.014393450234079008254184373072348535060882568359375
n_components = 40 , alpha = 0.0001 l1_ratio = 1  -> score: 1.014367093725069945975292284856550395488739013671875
n_components = 40 , alpha = 1 l1_ratio = 0  -> score: 1.0135719287434337143594120789202861487865447998046875
n_components = 40 , alpha = 1 l1_ratio = 0.5  -> score: 1.01414734805649686677497811615467071533203125
n_components = 40 , alpha = 1 l1_ratio = 1  -> score: 1.0158867901272417011426796307205222547054290771484375


Best: 
n_components = 10 , alpha = 1 l1_ratio = 0  -> score: 1.01064786398551831325676175765693187713623046875
