bounds = [{'name': 'var_1', 'type': 'continuous', 'domain': (-6, -1.5), 'dimensionality': 1}, #log-eta
              {'name': 'var_2', 'type': 'discrete', 'domain': tuple(range(1, 150)), 'dimensionality': 1}, #k
              {'name': 'var_3', 'type': 'continuous', 'domain': (-6, 1), 'dimensionality': 1}, #log-reg_factor
              {'name': 'var_4', 'type': 'continuous', 'domain': (4, 7), 'dimensionality': 1}] # log-num_of_samples


 max_iter = 100  ## maximum number of iterations

Loading data... 
Data loaded
Extracting data...
Data extracted
k = 111  eta = 0.0016587250059320823 num_of_samples = 10000000 reg_factor = 0.012088753491858001
Score:  1.1127052325752744
k = 109  eta = 9.714587007861551e-05 num_of_samples = 10000000 reg_factor = 0.01229188055607929
Score:  1.1197000357705071
k = 105  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 8.215779567976768e-06
Score:  1.1225979212646082
k = 111  eta = 1.8460741379779917e-05 num_of_samples = 10000000 reg_factor = 0.04791860233379678
Score:  1.1298811430983147
k = 110  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 0.06214256567180863
Score:  1.1392382015738853
k = 116  eta = 0.03162277660168379 num_of_samples = 91306 reg_factor = 0.00012714168928466864
Score:  1.132800509256636
k = 105  eta = 0.0016568904098823052 num_of_samples = 10000000 reg_factor = 0.002034342020882642
Score:  1.1125030611060387
k = 104  eta = 0.00012140630625550237 num_of_samples = 10000000 reg_factor = 0.00010863608494785678
Score:  1.1170483615746827
k = 106  eta = 2.6518091293040275e-05 num_of_samples = 10000000 reg_factor = 0.003352588835256097
Score:  1.127629116189729
k = 103  eta = 0.007890137659856439 num_of_samples = 10000000 reg_factor = 0.0014936980427690874
Score:  1.1130474554854817
k = 104  eta = 0.004622281649118224 num_of_samples = 331382 reg_factor = 0.0005120478472056692
Score:  1.1152682731897179
k = 103  eta = 0.0004034521094847819 num_of_samples = 2002924 reg_factor = 0.018691949844132957
Score:  1.1194921484924198
