SGD Collaborative Filtering with regularization term:

1. SGD - Exercise 4, Regularization: We are smart!
2. Normalization of numbers between [1, 5] - Probabilistic Matrix Factorization - Ruslan Salakhutdinov and Andriy Mnih

Loading data... 
Data loaded
Extracting data...
Data extracted
k = 1 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.3321981547126053868623785092495381832122802734375
k = 1 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.3334200269960334583885241954703815281391143798828125
k = 1 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.3309973199615308114829304031445644795894622802734375
k = 1 , eta = 0.011 num_of_samples = 10000 reg_factor = 1  -> score: 1.3493017204987320933895489361020736396312713623046875
k = 1 , eta = 0.011 num_of_samples = 10000 reg_factor = 10  -> score: 1.750063609911222783921402879059314727783203125
k = 1 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.36592845525449302357401393237523734569549560546875
k = 1 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.342821420878929306041982272290624678134918212890625
k = 1 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.3257934347332902547123012482188642024993896484375
k = 1 , eta = 0.001 num_of_samples = 10000 reg_factor = 1  -> score: 1.34462377755935857948088596458546817302703857421875
k = 1 , eta = 0.001 num_of_samples = 10000 reg_factor = 10  -> score: 1.38644095925826871251729244249872863292694091796875
k = 2 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.252002232216002486353545464226044714450836181640625
k = 2 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.252171425897290024664698648848570883274078369140625
k = 2 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.24960445256490171317409476614557206630706787109375
k = 2 , eta = 0.011 num_of_samples = 10000 reg_factor = 1  -> score: 1.2675369675157088789063664080458693206310272216796875
k = 2 , eta = 0.011 num_of_samples = 10000 reg_factor = 10  -> score: 1.692368504158082043176136721740476787090301513671875
k = 2 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.245755575515893109894705048645846545696258544921875
k = 2 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.2512130583027765151626908846083097159862518310546875
k = 2 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.252958501204099572845507282181642949581146240234375
k = 2 , eta = 0.001 num_of_samples = 10000 reg_factor = 1  -> score: 1.254933131529276213456114419386722147464752197265625
k = 2 , eta = 0.001 num_of_samples = 10000 reg_factor = 10  -> score: 1.2640073665662414637012034290819428861141204833984375
k = 3 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.2101063168880832332519048577523790299892425537109375
k = 3 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.219628698283293122273107655928470194339752197265625
k = 3 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.1996072070593257752335603072424419224262237548828125
k = 3 , eta = 0.011 num_of_samples = 10000 reg_factor = 1  -> score: 1.2116757598921221728005548357032239437103271484375
k = 3 , eta = 0.011 num_of_samples = 10000 reg_factor = 10  -> score: 1.670375224646293954577913609682582318782806396484375
k = 3 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.214134021695053800016239620163105428218841552734375
k = 3 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.212996935239315288157513350597582757472991943359375
k = 3 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.211587594358176200870502725592814385890960693359375
k = 3 , eta = 0.001 num_of_samples = 10000 reg_factor = 1  -> score: 1.2150440391817916019334688826347701251506805419921875
k = 3 , eta = 0.001 num_of_samples = 10000 reg_factor = 10  -> score: 1.223602594304896484800337930209934711456298828125
k = 4 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.1819115236405870472680135208065621554851531982421875
k = 4 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.179960773932951401121727030840702354907989501953125
k = 4 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.17670956858619746299154940061271190643310546875
k = 4 , eta = 0.011 num_of_samples = 10000 reg_factor = 1  -> score: 1.2120217481946351512078763335011899471282958984375
k = 4 , eta = 0.011 num_of_samples = 10000 reg_factor = 10  -> score: 1.66692056850991576766318758018314838409423828125
k = 4 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.18626876180254203774211418931372463703155517578125
k = 4 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.197577459081482942337970598600804805755615234375
k = 4 , eta = 0.001 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.182212689800599125788949095294810831546783447265625
k = 4 , eta = 0.001 num_of_samples = 10000 reg_factor = 1  -> score: 1.195870519990716029923305541160516440868377685546875
k = 4 , eta = 0.001 num_of_samples = 10000 reg_factor = 10  -> score: 1.20386467094110827247277484275400638580322265625
k = 5 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.001  -> score: 1.1752239097126000455517669252003543078899383544921875
k = 5 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.01  -> score: 1.1800820558389493175610596154001541435718536376953125
k = 5 , eta = 0.011 num_of_samples = 10000 reg_factor = 0.1  -> score: 1.1836161551958344073653961459058336913585662841796875
k = 5 , eta = 0.011 num_of_samples = 10000 reg_factor = 1  -> score: 1.187966812056167054123534398968331515789031982421875
